Date,Close/Last,Volume,Open,High,Low
07/02/2025,$212.44,67941810,$208.91,$213.34,$208.14
07/01/2025,$207.82,78788870,$206.665,$210.1865,$206.1401
06/30/2025,$205.17,91912820,$202.01,$207.39,$199.2607
06/27/2025,$201.08,73188570,$201.89,$203.22,$200.00
06/26/2025,$201.00,50799120,$201.43,$202.64,$199.46
06/25/2025,$201.56,39525730,$201.45,$203.67,$200.6201
06/24/2025,$200.30,54064030,$202.59,$203.44,$200.20
06/23/2025,$201.50,55814270,$201.625,$202.30,$198.96
06/20/2025,$201.00,96813540,$198.235,$201.70,$196.855
